cod_ibge,nome_municipio,mort_2019,mort_2020,mort_2021,mort_2022,mort_2023,mort_total,aih_aprovadas,valor_total_reais,populacao,pib_medio_mil_reais,taxa_mort_100k,taxa_proc_100k,pib_per_capita,crescimento_mort
150715,SAO DOMINGOS DO ARAGUAIA,17.0,13.0,11.0,6.0,15.0,62.0,0.0,0.0,25945,3213396.6,238.96704567354016,0.0,123854.1761418385,-11.76470588235294
150720,SAO DOMINGOS DO CAPIM,5.0,10.0,9.0,9.0,7.0,40.0,0.0,0.0,32285,4176495.8,123.89654638376956,0.0,129363.35140157968,40.0
150730,SAO FELIX DO XINGU,39.0,46.0,14.0,22.0,16.0,137.0,0.0,0.0,135732,16208202.8,100.93419385259186,0.0,119413.27616184835,-58.97435897435898
150740,SAO FRANCISCO DO PARA,5.0,10.0,8.0,6.0,9.0,38.0,0.0,0.0,15978,2431760.8,237.8270121416948,0.0,152194.31718613094,80.0
150745,SAO GERALDO DO ARAGUAIA,12.0,7.0,11.0,11.0,19.0,60.0,0.0,0.0,24566,6656461.8,244.24000651306687,0.0,270962.37889766344,58.333333333333336
150746,SAO JOAO DA PONTA,2.0,5.0,3.0,3.0,2.0,15.0,0.0,0.0,6294,519335.6,238.32221163012395,0.0,82512.80584683825,0.0
150747,SAO JOAO DE PIRABAS,7.0,9.0,9.0,11.0,6.0,42.0,0.0,0.0,23440,1631311.2,179.18088737201367,0.0,69595.18771331057,-14.285714285714285
150750,SAO JOAO DO ARAGUAIA,2.0,5.0,8.0,1.0,1.0,17.0,0.0,0.0,14105,1627236.2,120.5246366536689,0.0,115365.91279688054,-50.0
150760,SAO MIGUEL DO GUAMA,19.0,25.0,22.0,16.0,26.0,108.0,0.0,0.0,60268,7300136.2,179.1995752306365,0.0,121127.8987190549,36.84210526315789
150770,SAO SEBASTIAO DA BOA VISTA,8.0,8.0,15.0,11.0,22.0,64.0,0.0,0.0,27302,2136350.8,234.41506116768,0.0,78248.87554025346,175.0
150775,SAPUCAIA,5.0,2.0,2.0,1.0,1.0,11.0,0.0,0.0,6088,1198596.2,180.6833114323259,0.0,196878.48226018396,-80.0
150780,SENADOR JOSE PORFIRIO,4.0,9.0,2.0,5.0,4.0,24.0,0.0,0.0,11305,2260916.6,212.29544449358693,0.0,199992.62273330384,0.0
150790,SOURE,14.0,20.0,18.0,24.0,14.0,90.0,0.0,0.0,25752,2190750.4,349.4874184529357,0.0,85071.07797452626,0.0
150795,TAILANDIA,18.0,12.0,17.0,26.0,13.0,86.0,0.0,0.0,111554,12451392.4,77.09270846406224,0.0,111617.62375172562,-27.77777777777778
150796,TERRA ALTA,8.0,9.0,4.0,7.0,4.0,32.0,0.0,0.0,11971,767433.4,267.3126722913708,0.0,64107.710299891405,-50.0
150797,TERRA SANTA,1.0,3.0,3.0,3.0,2.0,12.0,0.0,0.0,19063,4932110.6,62.94916854639878,0.0,258726.88454073336,100.0
150800,TOME-ACU,19.0,23.0,22.0,11.0,16.0,91.0,0.0,0.0,64604,9942298.2,140.85815119806824,0.0,153896.0157265804,-15.789473684210526
150803,TRACUATEUA,7.0,9.0,6.0,9.0,4.0,35.0,0.0,0.0,31549,2669786.8,110.93854004881295,0.0,84623.4999524549,-42.857142857142854
150805,TRAIRAO,4.0,10.0,5.0,10.0,9.0,38.0,0.0,0.0,19344,2921462.8,196.4433416046319,0.0,151026.81968569066,125.0
150808,TUCUMA,15.0,14.0,10.0,4.0,3.0,46.0,0.0,0.0,40661,8905136.8,113.13051818696049,0.0,219009.29145864586,-80.0
150810,TUCURUI,54.0,59.0,52.0,37.0,40.0,242.0,0.0,0.0,116605,44341966.0,207.53827022854938,0.0,380274.9967840144,-25.925925925925924
150812,ULIANOPOLIS,20.0,17.0,22.0,22.0,15.0,96.0,0.0,0.0,62286,17319301.6,154.1277333590213,0.0,278060.90614263236,-25.0
150815,URUARA,18.0,14.0,13.0,10.0,13.0,68.0,0.0,0.0,45395,6961825.0,149.79623306531556,0.0,153361.05297940303,-27.77777777777778
150820,VIGIA,7.0,11.0,14.0,14.0,15.0,61.0,0.0,0.0,54650,4114329.8,111.61939615736505,0.0,75285.08325709058,114.28571428571428
150830,VISEU,8.0,15.0,13.0,14.0,17.0,67.0,0.0,0.0,62093,5713877.8,107.90266213582852,0.0,92021.28742370315,112.5
150835,VITORIA DO XINGU,10.0,8.0,8.0,4.0,7.0,37.0,0.0,0.0,15421,33093781.8,239.93255949679008,0.0,2146020.478568186,-30.0
150840,XINGUARA,29.0,32.0,32.0,36.0,49.0,178.0,0.0,0.0,45416,15121099.8,391.93235864012684,0.0,332946.53426105337,68.96551724137932
